paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta
3207;3600930;Niemijärvi, oik;W;Vedenkorkeus;36.061;Jatkuva;01.01.1979;19.12.2025;Satakunta
3212;5700162;Kortteinen pato;W;Vedenkorkeus;57.062;Jatkuva;01.12.1966;19.12.2025;Pohjois-Pohjanmaa
3217;5703100;Lämsänkoski;W;Vedenkorkeus;57.031;Jatkuva;01.12.1973;19.12.2025;Pohjois-Pohjanmaa
3219;5800100;Tyrnävänjoki, lm;W;Vedenkorkeus;58.052;Jatkuva;10.04.1989;19.12.2025;Pohjois-Pohjanmaa
3222;6500720;Pyhäjoki;W;Vedenkorkeus;65.652;Jatkuva;08.09.2004;19.12.2025;Lappi
3225;8400800;Haapajärven tekoallas;W;Vedenkorkeus;84.088;Jatkuva;30.10.1966;19.12.2025;Pohjois-Pohjanmaa
3232;6500710;Pallasjärvi;W;Vedenkorkeus;65.652;Jatkuva;07.09.2004;19.12.2025;Lappi
3233;5400150;Venetpalo,ylä;W;Vedenkorkeus;54.041;Jatkuva;26.09.2004;19.12.2025;Pohjois-Pohjanmaa
3234;8400900;Pattijoki;W;Vedenkorkeus;84.090;Jatkuva;07.06.1984;19.12.2025;Pohjois-Pohjanmaa
3242;5300150;Jalkakosken sp;W;Vedenkorkeus;53.043;Jatkuva;04.10.2004;19.12.2025;Pohjois-Pohjanmaa
3243;5300164;Haittaperän sp;W;Vedenkorkeus;53.082;Jatkuva;04.10.2004;19.12.2025;Pohjois-Pohjanmaa
3256;2100300;Ridasjärvi, Pohjapato;W;Vedenkorkeus;21.094;Jatkuva;01.01.1994;18.12.2025;Uusimaa
3259;2101710;Vantaanjoki, Vanhakaupunki;W;Vedenkorkeus;21.011;Jatkuva;18.10.2004;05.08.2014;Uusimaa
3275;4900344;Kaitfors, Alavesi, Kvarnholm;W;Vedenkorkeus;49.021;Jatkuva;01.01.1987;31.12.2018;Pohjanmaa
3276;4900345;Kaitfors;W;Vedenkorkeus;49.021;Jatkuva;01.01.1987;19.12.2025;Pohjanmaa
3278;3510771;Lukkarinsanta;W;Vedenkorkeus;35.111;Jatkuva;30.11.2004;19.12.2025;Satakunta
3279;1800110;Mallusjärvi;W;Vedenkorkeus;18.033;Jatkuva;01.01.1977;18.12.2025;Päijät-Häme
3310;8400910;Pattijoen säännöstelypato, ylävesi;W;Vedenkorkeus;84.090;Jatkuva;26.08.2008;19.12.2025;Pohjois-Pohjanmaa
3311;8400920;Pattijoen säännöstelypato, alavesi;W;Vedenkorkeus;84.090;Jatkuva;26.08.2008;19.12.2025;Pohjois-Pohjanmaa
3312;6300101;Kivijoki;W;Vedenkorkeus;63.031;Jatkuva;05.11.2005;19.12.2025;Pohjois-Pohjanmaa
3313;4700325;Ähtävänjoki, Hanhikoski;W;Vedenkorkeus;47.023;Jatkuva;24.09.2005;19.12.2025;Etelä-Pohjanmaa
3314;6702520;Tornionjoki, Tornion kaupunki;W;Vedenkorkeus;67.111;Jatkuva;17.11.2005;19.12.2025;Lappi
3315;6503220;Ounasjoki, Kittilä kirkonkylä;W;Vedenkorkeus;65.542;Jatkuva;17.11.2005;19.12.2025;Lappi
3316;7101340;Ivalojoki Ivalo kirkonkylä;W;Vedenkorkeus;71.412;Jatkuva;26.10.2005;19.12.2025;Lappi
3321;3510721;Porin vanha silta;W;Vedenkorkeus;35.111;Jatkuva;10.08.2005;19.12.2025;Satakunta
3322;0410441;Kärinki;W;Vedenkorkeus;04.119;Jatkuva;09.02.2000;19.12.2025;Etelä-Karjala
3327;3501201;Nerosjärvi;W;Vedenkorkeus;35.783;Jatkuva;06.04.1981;19.12.2025;Kanta-Häme
3781;3502550;Matkolammi;W;Vedenkorkeus;35.236;Jatkuva;17.11.2020;19.12.2025;Kanta-Häme
3786;5600500;Piehinkijoki;W;Vedenkorkeus;56.001;Jatkuva;05.09.2019;19.12.2025;Pohjois-Pohjanmaa
3799;3510440;Harjavalta, ala;W;Vedenkorkeus;35.121;Jatkuva;12.01.2020;25.03.2020;Satakunta
3838;3503420;Lempäälä, ala;W;Vedenkorkeus;35.211;Jatkuva;15.08.2007;19.12.2025;Pirkanmaa
3855;4700355;Hattar, Alavesi;W;Vedenkorkeus;47.013;Jatkuva;21.10.2020;19.12.2025;Pohjanmaa
3864;0408190;Naapuskoski, alavesi;W;Vedenkorkeus;04.271;Jatkuva;14.01.2021;19.12.2025;Pohjois-Savo
3873;4207103;Seinäjoen ohjauspato, oikaisu-uoman suuosa;W;Vedenkorkeus;42.071;Jatkuva;21.03.2016;19.12.2025;Etelä-Pohjanmaa
3928;3606000;Kodesjärvi;W;Vedenkorkeus;36.034;Jatkuva;31.05.2022;19.12.2025;Etelä-Pohjanmaa
3897;4700655;Herrfors, Alavesi;W;Vedenkorkeus;47.011;Jatkuva;04.03.2021;19.12.2025;Pohjanmaa
3899;4700705;Finnholm, Alavesi;W;Vedenkorkeus;47.013;Jatkuva;03.03.2021;19.12.2025;Pohjanmaa
3916;3400000;Ahmasoja;W;Vedenkorkeus;34.024;Jatkuva;01.06.2020;19.12.2025;Satakunta
3938;G617302;Pohjoinen Julmalampi PJulmaAM;W;Vedenkorkeus;61.737;Jatkuva;04.09.2020;19.12.2025;Kainuu
