paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
3921;5904053;Montta, ylä;W;Vedenkorkeus;59.121;Jatkuva;31.5.2022;18.12.2025;Pohjois-Pohjanmaa;39;0;;;
3923;3901300;Närpes å, Skrivarsbäcken;W;Vedenkorkeus;39.001;Jatkuva;24.3.2022;19.12.2025;Pohjanmaa;42;0;;;
3924;4900353;Sääkskoski;W;Vedenkorkeus;49.022;Jatkuva;7.4.2022;19.12.2025;Pohjanmaa;;;;0;
3927;3702500;Kangasjärvi;W;Vedenkorkeus;37.051;Jatkuva;25.5.2022;19.12.2025;Etelä-Pohjanmaa;0;;;;
3931;4400150;Lentilä;W;Vedenkorkeus;44.042;Jatkuva;23.6.2022;19.12.2025;Etelä-Pohjanmaa;0;;;;
3937;G617301;Eteläinen Julmalampi EJulmaAM;W;Vedenkorkeus;61.736;Jatkuva;5.9.2020;19.12.2025;Kainuu;0;-32;;;
3940;1401580;Hankajärvi;W;Vedenkorkeus;14.674;Jatkuva;;;Etelä-Pohjanmaa;0;;;;
3943;3510900;Varvoorinjuopa;W;Vedenkorkeus;35.111;Jatkuva;20.11.2022;1.7.2025;Satakunta;0;;;;
3959;3706400;Haapajärvi;W;Vedenkorkeus;37.065;Jatkuva;13.6.2016;26.9.2024;Etelä-Pohjanmaa;0;;;;
3961;410404;Jukajärvi;W;Vedenkorkeus;4.176;Jatkuva;17.4.2019;1.8.2025;Etelä-Savo;9925;9900;9887;;
3964;6502020;Kemijärvi, Lehtosalmi;W;Vedenkorkeus;65.311;Jatkuva;27.6.2023;19.12.2025;Lappi;45;13;;0;
3965;3502525;Lehijärvi;W;Vedenkorkeus;35.25;Jatkuva;27.7.2023;19.12.2025;Kanta-Häme;8097;8070;;;
3966;4300500;Röukasträsket;W;Vedenkorkeus;43.003;Jatkuva;9.8.2024;19.12.2025;Pohjanmaa;8097;8070;;;
3970;3900660;Tupenluoma, Teuvantien silta;W;Vedenkorkeus;39.007;Jatkuva;26.9.2023;19.12.2025;Etelä-Pohjanmaa;54;12;;0;
3971;3900650;Tupenluoman alaosa;W;Vedenkorkeus;39.003;Jatkuva;20.12.2023;19.12.2025;Etelä-Pohjanmaa;54;12;;0;
3972;3511101;Leineperin patosilta;W;Vedenkorkeus;35.142;Jatkuva;21.10.2020;19.12.2025;Satakunta;;2411;;2400;
3979;1424600;Rutajärvi;W;Vedenkorkeus;14.236;Jatkuva;2.4.2024;19.12.2025;Keski-Suomi;12299;;;;
3980;3509250;Loimijoki Hirvikoski;W;Vedenkorkeus;35.92;Jatkuva;11.6.2024;24.9.2025;Varsinais-Suomi;0;;;;
3982;1400750;Kannonjärvi;W;Vedenkorkeus;14.461;Jatkuva;18.10.1973;19.12.2025;Keski-Suomi;14032;13999;;;
3983;4200409;Kyrkösjärvi, Sevo;W;Vedenkorkeus;42.071;Jatkuva;17.6.2024;19.12.2025;Etelä-Pohjanmaa;53;;;0;
